GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.example.gamificacao.grupo_7,Application,5,3,0,0,2,1,1,1,1,1
,com.example.gamificacao.grupo_7.model.validation_object,VoucherValue,5,19,1,1,1,5,1,2,0,2
,com.example.gamificacao.grupo_7.model.validation_object,RA,32,6,0,0,6,3,2,1,2,1
,com.example.gamificacao.grupo_7.dto.matricula,ConcluirCursoRequestDTO,0,6,0,0,0,1,0,1,0,1
,com.example.gamificacao.grupo_7.dto.matricula,VoucherResponseDTO,0,21,0,0,0,1,0,1,0,1
,com.example.gamificacao.grupo_7.dto.matricula,MatriculaResponseDTO,0,15,0,0,0,1,0,1,0,1
,com.example.gamificacao.grupo_7.dto.matricula,ConcluirCursoResponseDTO,0,24,0,0,0,1,0,1,0,1
,com.example.gamificacao.grupo_7.dto.matricula,MatriculaRequestDTO,0,6,0,0,0,1,0,1,0,1
,com.example.gamificacao.grupo_7.dto,RecompensasPremiumDTO,0,12,0,0,0,1,0,1,0,1
,com.example.gamificacao.grupo_7.exception.aluno,CursosConcluidosInsuficientesException,4,0,0,0,2,0,1,0,1,0
,com.example.gamificacao.grupo_7.exception.aluno,NotaFinalNaoSuficienteException,4,0,0,0,2,0,1,0,1,0
,com.example.gamificacao.grupo_7.exception.aluno,AlunoNotFoundException,0,4,0,0,0,2,0,1,0,1
,com.example.gamificacao.grupo_7.exception.aluno,PlanoInvalidoException,4,0,0,0,2,0,1,0,1,0
,com.example.gamificacao.grupo_7.exception.aluno,EmailAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
,com.example.gamificacao.grupo_7.service.progressao,PoliticaProgressaoPadrao,0,24,0,6,0,8,0,5,0,2
,com.example.gamificacao.grupo_7.service.progressao,ResultadoProgressao,0,27,0,0,0,5,0,1,0,1
,com.example.gamificacao.grupo_7.enums,CursoStatus,0,32,0,0,0,7,0,2,0,2
,com.example.gamificacao.grupo_7.enums,VoucherStatus,0,32,0,0,0,7,0,2,0,2
,com.example.gamificacao.grupo_7.enums,Plano,0,25,0,0,0,6,0,2,0,2
,com.example.gamificacao.grupo_7.enums,CursosParametros,0,35,0,0,0,7,0,2,0,2
,com.example.gamificacao.grupo_7.exception.matricula,CursoJaConcluidoException,0,4,0,0,0,2,0,1,0,1
,com.example.gamificacao.grupo_7.exception.matricula,MatriculaNotFoundException,0,4,0,0,0,2,0,1,0,1
,com.example.gamificacao.grupo_7.exception.moeda,MoedaInvalidaException,4,0,0,0,2,0,1,0,1,0
,com.example.gamificacao.grupo_7.exception,GlobalExceptionHandler.ErrorResponse,15,0,0,0,1,0,1,0,1,0
,com.example.gamificacao.grupo_7.exception,GlobalExceptionHandler,64,3,0,0,10,1,6,1,6,1
,com.example.gamificacao.grupo_7.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
,com.example.gamificacao.grupo_7.dto.aluno,AlunoResponseDTO,0,15,0,0,0,1,0,1,0,1
,com.example.gamificacao.grupo_7.dto.aluno,AlunoRequestDTO,0,12,0,0,0,1,0,1,0,1
,com.example.gamificacao.grupo_7.mapper,AlunoMapper,10,32,0,0,4,13,1,3,1,3
,com.example.gamificacao.grupo_7.mapper,CursoMapper,0,12,0,0,0,6,0,2,0,2
,com.example.gamificacao.grupo_7.mapper,MatriculaMapper,0,46,0,0,0,18,0,4,0,4
,com.example.gamificacao.grupo_7.mapper,VoucherMapper,0,23,0,0,0,9,0,2,0,2
,com.example.gamificacao.grupo_7.model,Curso,0,14,0,2,0,5,0,2,0,1
,com.example.gamificacao.grupo_7.model,Recompensa,0,15,0,0,0,2,0,2,0,2
,com.example.gamificacao.grupo_7.config,SecurityConfig,0,19,0,0,0,5,0,3,0,3
,com.example.gamificacao.grupo_7.service,ConclusaoCursoService,0,167,0,7,0,38,0,13,0,9
,com.example.gamificacao.grupo_7.service,MatriculaService,0,61,0,0,0,11,0,4,0,4
,com.example.gamificacao.grupo_7.service,AlunoService,0,86,0,2,0,14,0,7,0,6
,com.example.gamificacao.grupo_7.service,RecompensasService,0,117,0,2,0,21,0,8,0,7
,com.example.gamificacao.grupo_7.controller,HealthController,7,4,0,0,2,1,1,1,1,1
,com.example.gamificacao.grupo_7.controller,ConclusaoCursoController,0,12,0,0,0,2,0,1,0,1
,com.example.gamificacao.grupo_7.controller,AlunoController,19,20,0,0,4,4,2,2,2,2
,com.example.gamificacao.grupo_7.controller,MatriculaController,0,21,0,0,0,4,0,2,0,2
